email Count,x,y,latitude,longitude
605,2781.573019,1903.517074,48.91093023,2.259712296
257,2776.932733,1764.303603,48.9109105,2.256672789
535,2774.126558,1493.807905,48.91089857,2.250766942
20,2768.245478,1093.299783,48.91087357,2.242022478
533,2767.52771,1497.963453,48.91087052,2.250857672
21,2767.334135,1073.216504,48.9108697,2.241583991
258,2767.072005,1803.909369,48.91086858,2.257537519
534,2760.753354,1439.806983,48.91084172,2.249587917
174,2755.040826,1729.704402,48.91081743,2.25591737
237,2752.335534,1137.756165,48.91080593,2.242993113
109,2748.084084,542.4770861,48.91078786,2.229996132
520,2744.588001,469.193216,48.910773,2.228396095
606,2742.939526,1919.085737,48.91076599,2.260052213
239,2739.189626,1034.671175,48.91075005,2.240742415
597,2733.26851,1793.267244,48.91072487,2.257305165
519,2732.113185,437.2871168,48.91071996,2.227699475
607,2732.103249,1942.125808,48.91071992,2.260555257
598,2721.565228,1757.366572,48.91067512,2.25652133
238,2719.18796,1172.062902,48.91066501,2.243742147
503,2718.929824,1437.306371,48.91066392,2.24953332
521,2715.123641,481.3673192,48.91064774,2.228661897
164,2708.123938,521.8817975,48.91061798,2.229546467
108,2706.889037,532.7607171,48.91061273,2.229783991
19,2703.557181,1064.016905,48.91059856,2.241383133
342,2698.86414,1137.77879,48.91057861,2.242993607
110,2697.394927,556.2972896,48.91057237,2.230297875
193,2688.216535,120.7455895,48.91053335,2.22078829
191,2683.284488,1558.552567,48.91051238,2.252180539
22,2682.471696,1082.768516,48.91050892,2.241792544
330,2680.722027,562.8725417,48.91050148,2.230441435
518,2678.573772,378.1959082,48.91049235,2.226409312
599,2676.015149,1717.623867,48.91048147,2.255653611
23,2675.100288,1099.292894,48.91047759,2.242153328
66,2670.764853,562.5052794,48.91045915,2.230433416
163,2670.070195,554.3912566,48.9104562,2.23025626
24,2661.754382,1140.9139,48.91042085,2.243062057
505,2656.153399,1740.948426,48.91039704,2.256162866
612,2655.866304,2009.137417,48.91039582,2.26201835
115,2649.495979,506.8463383,48.91036873,2.229218191
531,2647.839076,1394.502303,48.91036169,2.24859876
506,2645.709459,1905.386033,48.91035264,2.259753102
689,2645.479586,1758.91607,48.91035166,2.256555161
116,2643.584307,565.444027,48.9103436,2.230497579
532,2643.333363,1397.372718,48.91034254,2.248661431
223,2634.000573,699.1381416,48.91030286,2.23341658
611,2633.080134,2047.328671,48.91029895,2.262852196
517,2632.765522,351.8189412,48.91029761,2.225833412
65,2632.259392,443.054645,48.91029546,2.2278254
526,2631.733846,1760.480551,48.91029322,2.256589319
524,2629.774616,1772.863492,48.91028489,2.256859681
331,2626.928455,551.8000337,48.91027279,2.230199684
530,2626.817395,1467.895072,48.91027232,2.250201176
608,2623.486422,1994.179656,48.91025816,2.261691771
168,2622.39355,1077.516969,48.91025351,2.241677885
609,2621.16763,2026.705108,48.9102483,2.262401913
114,2619.137501,507.9665381,48.91023967,2.229242649
328,2618.207304,612.7816706,48.91023572,2.231531122
527,2615.104522,1752.702581,48.91022253,2.256419499
528,2614.309218,1688.472568,48.91021915,2.255017138
112,2612.624229,537.4288987,48.91021198,2.229885913
167,2604.453806,1127.031537,48.91017725,2.242758958
502,2600.940487,1380.386781,48.91016231,2.24829057
111,2596.935295,586.2493267,48.91014528,2.23095183
610,2590.609538,2002.922285,48.91011839,2.261882652
64,2587.357451,464.8234468,48.91010457,2.228300688
113,2583.271977,539.5553257,48.9100872,2.22993234
224,2575.090149,748.1546156,48.91005241,2.234486777
165,2573.125034,1019.254545,48.91004406,2.240405817
529,2566.897609,1427.153221,48.91001759,2.249311642
329,2559.362323,497.7247633,48.90998555,2.229019036
25,2554.996091,1038.935341,48.90996699,2.240835516
488,2554.850268,2036.598648,48.90996637,2.262617922
166,2552.413811,1065.997633,48.90995601,2.241426379
496,2532.00124,1575.157803,48.90986923,2.252543089
10,2529.612792,710.0949709,48.90985908,2.233655805
587,2525.975348,1635.941491,48.90984361,2.253870205
516,2523.106224,583.5950454,48.90983142,2.230893878
694,2521.361443,2059.510256,48.909824,2.263118161
227,2512.91598,778.1680051,48.9097881,2.235142072
340,2507.801427,1671.566449,48.90976635,2.25464802
9,2506.83004,693.2131223,48.90976222,2.233287216
11,2506.568501,718.0304211,48.90976111,2.233829063
522,2502.30872,1120.752954,48.909743,2.242621875
588,2496.965713,1641.776098,48.90972029,2.253997594
225,2495.643919,736.1626965,48.90971467,2.234224953
513,2482.469821,1012.085333,48.90965866,2.240249288
589,2480.322653,1655.137803,48.90964953,2.254289326
344,2479.17808,460.6163571,48.90964467,2.228208832
688,2473.217004,1060.307498,48.90961932,2.241302143
489,2472.738584,2007.229019,48.90961729,2.261976683
495,2467.220648,1651.947988,48.90959383,2.254219681
515,2464.030746,963.1113845,48.90958027,2.23918002
334,2462.957304,881.1057675,48.90957571,2.237389556
586,2462.417076,1537.538975,48.90957341,2.251721741
343,2461.172012,511.1509695,48.90956812,2.229312176
197,2457.909493,1222.795322,48.90955425,2.244849809
596,2457.252082,1775.315786,48.90955145,2.256913223
455,2453.602954,579.9068686,48.90953594,2.230813353
226,2451.27765,736.7659679,48.90952605,2.234238124
16,2450.523727,778.5284843,48.90952285,2.235149943
332,2449.025285,862.6767942,48.90951648,2.236987188
698,2446.386976,1062.937794,48.90950526,2.241359572
540,2442.89602,1005.028171,48.90949042,2.240095206
198,2438.326453,1191.969897,48.90947099,2.244176785
359,2433.986292,1546.981176,48.90945254,2.251927896
260,2430.704665,1991.551366,48.90943859,2.261634386
259,2428.568298,2053.924361,48.90942951,2.262996202
690,2426.378273,1881.250158,48.9094202,2.259226133
18,2424.710285,845.6542666,48.90941311,2.236615528
590,2422.229441,1687.058885,48.90940256,2.254986272
490,2420.70162,1871.915127,48.90939607,2.259022317
456,2409.947402,561.3449064,48.90935035,2.230408082
12,2409.884391,701.0085042,48.90935008,2.233457416
693,2408.983994,1949.908704,48.90934625,2.260725184
14,2406.753054,774.5889077,48.90933677,2.235063928
17,2405.728398,882.7309597,48.90933241,2.23742504
13,2404.523015,738.4286754,48.90932729,2.234274427
581,2404.201631,959.1364982,48.90932592,2.239093234
594,2396.765077,1567.708645,48.90929431,2.252380448
457,2396.564055,573.0551506,48.90929345,2.230663756
592,2396.100926,1664.801952,48.90929148,2.254500327
514,2393.51248,970.3182501,48.90928048,2.23933737
497,2393.319241,1475.33837,48.90927966,2.250363689
591,2392.219722,1660.920749,48.90927498,2.254415587
333,2389.260207,901.844706,48.9092624,2.237842358
523,2385.0742,1006.294331,48.9092446,2.240122851
580,2382.830407,986.4477253,48.90923507,2.239689532
494,2381.486061,1777.181617,48.90922935,2.25695396
261,2375.933318,1968.258697,48.90920574,2.261125827
691,2367.756417,1914.232923,48.90917098,2.25994626
246,2367.675446,1123.844957,48.90917064,2.242689384
15,2361.522979,735.2597353,48.90914448,2.234205238
245,2359.239275,1146.887465,48.90913477,2.243192481
541,2358.609548,1044.587814,48.9091321,2.240958929
28,2358.050035,1263.868956,48.90912972,2.245746587
234,2357.892133,771.5436425,48.90912905,2.23499744
593,2355.430427,1573.80088,48.90911858,2.252513462
487,2354.740165,2091.871123,48.90911565,2.26382471
29,2348.090771,1236.935778,48.90908738,2.245158544
595,2347.74197,1739.365743,48.9090859,2.25612831
478,2335.582949,2083.817497,48.9090342,2.263648872
244,2332.260866,1254.817679,48.90902008,2.245548967
486,2328.310251,2048.785823,48.90900329,2.26288401
55,2327.10453,1266.635255,48.90899816,2.245806985
228,2326.288241,897.3331429,48.90899469,2.237743855
26,2320.392881,1227.779793,48.90896963,2.244958637
56,2318.68739,1177.272943,48.90896238,2.2438559
692,2318.310376,1859.235086,48.90896077,2.258745468
579,2304.605413,891.9952473,48.90890251,2.237627311
27,2299.217638,1189.630636,48.90887961,2.24412571
454,2295.136392,518.2298698,48.90886225,2.229466733
493,2294.389514,1665.101991,48.90885908,2.254506878
233,2293.810409,754.6799363,48.90885662,2.234629247
492,2277.606209,1762.130487,48.90878773,2.256625343
614,2276.370158,2026.478482,48.90878247,2.262396965
60,2270.051277,1301.769561,48.90875561,2.246574087
59,2266.414518,1217.187628,48.90874015,2.244727374
613,2265.372668,2046.453653,48.90873572,2.262833091
525,2265.150602,1671.239754,48.90873478,2.254640887
53,2256.922202,1515.736667,48.9086998,2.251245722
498,2255.625262,1506.974144,48.90869428,2.251054406
243,2255.417385,1173.477243,48.9086934,2.243773027
147,2253.855019,1866.416691,48.90868676,2.258902268
360,2252.721695,1608.52571,48.90868194,2.253271624
458,2251.654975,901.3394932,48.9086774,2.237831328
491,2251.036536,1868.803898,48.90867477,2.258954388
358,2248.879734,1677.16175,48.9086656,2.254770184
242,2246.469648,1126.305396,48.90865536,2.242743104
