grid,fclass,name,longitude,latitude,fclass
"16,10",pizzeria,Madrissio,2.250024676,48.89542991,pizzeria
"9,12",pizzeria,Le Bistrot de Courbevoie,2.240322456,48.89792317,pizzeria
"16,11",pitch, ,2.248485,48.895425,pitch
"3,5",pitch, ,2.230943,48.890411,pitch
"6,11",pitch, ,2.234667,48.895885,pitch
"19,7",pharmacy,Pharmacie Victor Hugo,2.253093,48.891883,pharmacy
"15,4",pharmacy,Pharmacie Manhattan,2.247631,48.889387,pharmacy
"7,12",pharmacy,Pharmacie Léonard de Vinci,2.236445,48.896785,pharmacy
"4,4",pharmacy,Pharmacie des Bouvets,2.231538,48.889065,pharmacy
"18,10",pharmacy,Pharmacie Charras,2.251827,48.895047,pharmacy
"17,11",pharmacy,Pharmacie Centrale,2.249524,48.895371,pharmacy
"16,1",pharmacy,Pharmacie Bellini,2.248819,48.88667,pharmacy
"1,11",pharmacy,Parapharmacie Les Terrasses de l'Arche,2.227806,48.895402,pharmacy
"7,10",pedestrian plaza,Esplanade Mona Lisa,2.23644197,48.89585059,pedestrian plaza
"15,2",pedestrian plaza,Esplanade du Général de Gaulle,2.248034477,48.88860693,pedestrian plaza
"18,2",park,Square Vivaldi,2.252692,48.888575,park
"1,0",park,Square president wilson,2.228045277,48.88568535,park
"3,2",park,Place des Marées,2.231245549,48.88785484,park
"17,7",park,Parc Diderot,2.250209692,48.89197935,park
"19,9",park,Parc des Pléiades,2.254434228,48.89474957,park
"8,12",optician,Optique de l'Arche,2.237102,48.896485,optician
"9,7",optician,Optic 2000,2.238936,48.892527,optician
"3,4",optician,Netoptic,2.230933,48.889457,optician
"16,10",optician,Lissac,2.249332,48.89496,optician
"17,11",optician,Krys,2.249592,48.895697,optician
"10,5",optician,Grand Optical,2.240042,48.890215,optician
"16,11",optician,Art - Optic,2.248837,48.896223,optician
"16,12",optician,Alain Afflelou,2.248313,48.896617,optician
"8,7",newsagent,Relay,2.237034,48.892558,newsagent
"3,0",newsagent,Le Totem,2.231129,48.886311,newsagent
"15,4",newsagent, ,2.24776,48.889559,newsagent
"8,7",newsagent, ,2.237201,48.891899,newsagent
"11,5",museum,Musée de la Défense,2.242299,48.890773,museum
"3,3",moroccan restaurant,Aux Delices de Puteaux,2.231247872,48.8891323,moroccan restaurant
"18,2",modern european restaurant,Restaurant de l'Hôtel Novotel Paris la Défense,2.253011,48.888035,modern european restaurant
"8,7",miscellaneous store,Nespresso,2.23864,48.892504,miscellaneous store
"0,4",miscellaneous store,Mayanne Evenementiel,2.22770034,48.8904719,miscellaneous store
