,id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,screen_name,follower_count,status_count,lang,lat,lng
116,1.49E+18,2022/1/27 16:50,2022,1,27,3,16,50,22,Un des meilleurs restaurant cor茅en : le S茅oul Op茅ra m茅tro Pyramides.  #restaurant #restaurantparis #koreanfood�?https://t.co/emzKW1YDUI,18012008,MaitreNem,maitrenem,101,2454,,48.8676,2.33309
10,1.49E+18,2022/1/26 16:52,2022,1,26,2,16,52,8,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/shOwFHdFss",23359000,Nick Februar,Nick_Februar,259,7873,,48.86313,2.332942
34,1.49E+18,2022/1/26 19:37,2022,1,26,2,19,37,18,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/npm7dMkpLi",23359000,Nick Februar,Nick_Februar,259,7876,,48.86313,2.332942
46,1.49E+18,2022/1/26 20:09,2022,1,26,2,20,9,11,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/yjMFoW23cX",23359000,Nick Februar,Nick_Februar,259,7877,,48.86313,2.332942
48,1.49E+18,2022/1/26 20:48,2022,1,26,2,20,48,16,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/i0KkXD4Bze",23359000,Nick Februar,Nick_Februar,259,7878,,48.86313,2.332942
83,1.49E+18,2022/1/27 13:45,2022,1,27,3,13,45,37,Thierry Mugler : Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/hkFU8U8o1R,23359000,Nick Februar,Nick_Februar,259,7882,,48.86313,2.332942
98,1.49E+18,2022/1/27 14:36,2022,1,27,3,14,36,22,"Thierry Mugler, Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/nHw508XnOS",23359000,Nick Februar,Nick_Februar,259,7883,,48.86313,2.332942
117,1.49E+18,2022/1/27 16:51,2022,1,27,3,16,51,40,"Thierry Mugler, Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/NquBzhbDw3",23359000,Nick Februar,Nick_Februar,259,7884,,48.86313,2.332942
130,1.49E+18,2022/1/27 18:52,2022,1,27,3,18,52,21,"Thierry Mugler, Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/Zu0tWfHK28",23359000,Nick Februar,Nick_Februar,259,7886,,48.86313,2.332942
140,1.49E+18,2022/1/27 19:25,2022,1,27,3,19,25,15,"i was really sadden to learn Thierry Mugler passed away.

i feel lucky i got to witness some of his greatest pieces�?https://t.co/zdgT2w9Uoh",223888747,NAmwe,baemwe,979,11894,,48.86313,2.332942
32,1.49E+18,2022/1/26 19:32,2022,1,26,2,19,32,31,Just posted a photo @ Beyoga Paris https://t.co/xGK6kRNxBk,3351969016,beyogaparisofficial,Beyoga_Paris,321,2562,,48.83982,2.3327
33,1.49E+18,2022/1/26 19:35,2022,1,26,2,19,35,4,Just posted a photo @ Beyoga Paris https://t.co/nWrsIAZ1Vd,3351969016,beyogaparisofficial,Beyoga_Paris,321,2563,,48.83982,2.3327
35,1.49E+18,2022/1/26 19:38,2022,1,26,2,19,38,5,Just posted a photo @ Beyoga Paris https://t.co/8RhFJqpI39,3351969016,beyogaparisofficial,Beyoga_Paris,321,2564,,48.83982,2.3327
37,1.49E+18,2022/1/26 19:40,2022,1,26,2,19,40,52,Just posted a photo @ Beyoga Paris https://t.co/ziOkbJRhSc,3351969016,beyogaparisofficial,Beyoga_Paris,321,2565,,48.83982,2.3327
38,1.49E+18,2022/1/26 19:44,2022,1,26,2,19,44,9,Just posted a photo @ Beyoga Paris https://t.co/Vn94ROcxDU,3351969016,beyogaparisofficial,Beyoga_Paris,321,2566,,48.83982,2.3327
125,1.49E+18,2022/1/27 18:31,2022,1,27,3,18,31,54,Just posted a photo @ Beyoga Paris https://t.co/VAEOIQHvo7,3351969016,beyogaparisofficial,Beyoga_Paris,321,2574,,48.83982,2.3327
113,1.49E+18,2022/1/27 16:32,2022,1,27,3,16,32,21,"I'm at Caf�?de Flore in Paris, 脦le-de-France https://t.co/im4Ye8omo7 https://t.co/RKqyiC3LIR",362249179,Reem AlShuwaier,alshuwaierr,135,688,,48.853997,2.332646
