OBJECTID,osm_id,code,fclass,name,ORIG_FID,X,Y,grid
5089,637258633,7217,scrub, ,248,2.235756099564412,48.89480459985248,"7,10"
5090,637258633,7217,scrub, ,248,2.23576030029767,48.894808799686416,"7,10"
5091,637258633,7217,scrub, ,248,2.23574440028392,48.894815800009205,"7,10"
5092,637258633,7217,scrub, ,248,2.235755100417578,48.894827500189024,"7,10"
5093,637258633,7217,scrub, ,248,2.23576330043602,48.89482430040118,"7,10"
5094,637258633,7217,scrub, ,248,2.23581139977631,48.89487379998593,"7,10"
5095,637258633,7217,scrub, ,248,2.235867799859136,48.894850299801526,"7,10"
5096,637258633,7217,scrub, ,248,2.235792200149945,48.894774399718806,"7,10"
5097,637258633,7217,scrub, ,248,2.235779499924036,48.894767400295336,"7,10"
5098,637258633,7217,scrub, ,248,2.235648199804643,48.894699999705274,"7,10"
5099,637258633,7217,scrub, ,248,2.235623999947677,48.89472159962219,"7,10"
5100,637258635,7217,scrub, ,249,2.235853100440295,48.89491680017022,"7,10"
5101,637258635,7217,scrub, ,249,2.23589649992357,48.89496150007324,"7,10"
5102,637258635,7217,scrub, ,249,2.235906700034207,48.894973100428274,"7,10"
